+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
+==========+====================+===============+=====+=======+====================+===============+
|          |the                 |4967           |     |       |the                 |713            |
|          |of                  |2915           |     |       |of                  |412            |
|          |to                  |1907           |     |       |and                 |310            |
|          |and                 |1867           |     |       |a                   |201            |
|          |a                   |1676           |     |       |to                  |183            |
|          |in                  |1201           |     |       |in                  |171            |
|          |was                 |1020           |     |       |is                  |111            |
|          |my                  |937            |     |       |that                |108            |
|          |it                  |836            |     |       |or                  |106            |
|          |we                  |795            |     |       |with                |103            |
|          |that                |707            |     |       |his                 |100            |
|          |with                |675            |     |       |this                |91             |
|          |is                  |617            |     |       |project             |83             |
|          |this                |614            |     |       |for                 |79             |
|          |at                  |554            |     |       |you                 |71             |
|          |he                  |550            |     |       |it                  |68             |
|          |but                 |527            |     |       |he                  |64             |
|          |not                 |515            |     |       |by                  |62             |
|          |which               |496            |     |       |as                  |61             |
|          |his                 |473            |     |       |from                |57             |
|          |had                 |451            |     |       |gutenberg-tm        |56             |
|          |for                 |427            |     |       |work                |55             |
|          |as                  |404            |     |       |was                 |51             |
|          |be                  |397            |     |       |be                  |50             |
|          |our                 |395            |     |       |are                 |50             |
|          |by                  |386            |     |       |all                 |47             |
|          |on                  |381            |     |       |not                 |46             |
|          |have                |375            |     |       |my                  |46             |
|          |uncle               |373            |     |       |which               |45             |
|          |no                  |355            |     |       |at                  |45             |
|          |you                 |352            |     |       |on                  |45             |
|          |were                |330            |     |       |but                 |43             |
|          |me                  |321            |     |       |raven               |39             |
|          |all                 |306            |     |       |any                 |37             |
|          |us                  |285            |     |       |works               |36             |
|          |from                |284            |     |       |have                |35             |
|          |an                  |282            |     |       |its                 |33             |
|          |are                 |280            |     |       |if                  |32             |
|          |there               |273            |     |       |no                  |31             |
|          |or                  |248            |     |       |one                 |29             |
|          |upon                |237            |     |       |more                |29             |
|          |what                |223            |     |       |electronic          |27             |
|          |could               |207            |     |       |gutenberg           |27             |
|          |its                 |202            |     |       |we                  |27             |
|          |would               |202            |     |       |other               |27             |
|          |if                  |192            |     |       |upon                |26             |
|          |said                |191            |     |       |an                  |26             |
|          |into                |185            |     |       |may                 |25             |
|          |one                 |183            |     |       |some                |24             |
|          |now                 |181            |     |       |lenore              |24             |
|          |will                |174            |     |       |him                 |24             |
|          |out                 |172            |     |       |me                  |24             |
|          |these               |171            |     |       |poe                 |23             |
|          |then                |167            |     |       |door                |23             |
|          |down                |167            |     |       |foundation          |22             |
|          |up                  |159            |     |       |terms               |22             |
|          |professor           |157            |     |       |poem                |21             |
|          |hans                |157            |     |       |has                 |21             |
|          |so                  |156            |     |       |before              |20             |
|          |very                |153            |     |       |these               |20             |
|          |when                |150            |     |       |there               |20             |
|          |him                 |147            |     |       |then                |19             |
|          |well                |143            |     |       |chamber             |19             |
